,city,colors,shape,state,time
42552,Pyramid Lake,,OVAL,NV,2007-12-10 22:30:00
42553,Mashpee,,TRIANGLE,MA,2007-12-10 23:00:00
42554,Chico,BLUE,FIREBALL,CA,2007-12-11 06:00:00
42555,Stony Point,,DISK,NY,2007-12-11 11:00:00
42556,Santa Ana,,LIGHT,CA,2007-12-11 18:30:00
42557,Tallahassee,,TRIANGLE,FL,2007-12-11 19:30:00
42558,Madison,,CIRCLE,AL,2007-12-11 21:00:00
42559,Madison,BLUE,DISK,AL,2007-12-11 21:00:00
42560,Bell Buckle,RED,LIGHT,TN,2007-12-11 22:15:00
42561,North East,,,MD,2007-12-11 23:00:00
42562,Philadelpha,,OTHER,PA,2007-12-12 00:00:00
42563,Cameron,,TRIANGLE,WV,2007-12-12 01:00:00
42564,Cincinnati,,CYLINDER,OH,2007-12-12 06:00:00
42565,Westlake,,DIAMOND,VA,2007-12-12 06:15:00
42566,Isla Vista,,OVAL,CA,2007-12-12 09:30:00
42567,Conway,,OVAL,SC,2007-12-12 13:00:00
42568,Benton,,CYLINDER,MS,2007-12-12 14:00:00
42569,Los Angeles,,OVAL,CA,2007-12-12 15:00:00
42570,Charlotte,,VARIOUS,NC,2007-12-12 16:00:00
42571,Anneville,,LIGHT,PA,2007-12-12 16:30:00
42572,"Columbia, Wrightsville",,,PA,2007-12-12 17:00:00
42573,Enola,,,PA,2007-12-12 17:00:00
42574,Harrisburg,,LIGHT,PA,2007-12-12 17:00:00
42575,Hershey,,FORMATION,PA,2007-12-12 17:00:00
42576,Palmyra,RED,OTHER,PA,2007-12-12 17:00:00
42577,Manheim,,,PA,2007-12-12 17:10:00
42578,Harrisburg,,FORMATION,PA,2007-12-12 17:25:00
42579,Bellingham,,LIGHT,WA,2007-12-12 17:45:00
42580,Ashville,,CIRCLE,OH,2007-12-12 17:52:00
42581,Los Angeles,RED,,CA,2007-12-12 19:50:00
42582,Birmingham,BLUE,CYLINDER,AL,2007-12-12 21:00:00
42583,Raleigh,,LIGHT,NC,2007-12-12 21:25:00
42584,Summerville,,LIGHT,SC,2007-12-12 21:30:00
42585,Delray Beach,BLUE,CIRCLE,FL,2007-12-12 23:00:00
42586,Jacksonville,RED,,OR,2007-12-13 10:00:00
42587,Cheney,,,WA,2007-12-13 17:00:00
42588,Port Allegany,,,PA,2007-12-13 18:00:00
42589,Destin,,TRIANGLE,FL,2007-12-13 19:20:00
42590,Chattanooga,,DIAMOND,TN,2007-12-13 19:30:00
42591,Orland,,TRIANGLE,CA,2007-12-13 21:20:00
42592,Sacramento,,CIGAR,CA,2007-12-13 21:30:00
42593,Sterling,,,VA,2007-12-14 00:00:00
42594,Tinley Park,,TRIANGLE,IL,2007-12-14 00:15:00
42595,Elmhurst,,TRIANGLE,NY,2007-12-14 05:30:00
42596,Kingsland,,TRIANGLE,GA,2007-12-14 06:45:00
42597,Harrisburg,ORANGE,OTHER,PA,2007-12-14 17:30:00
42598,Newark,RED,,DE,2007-12-14 18:50:00
42599,Springerville,,LIGHT,AZ,2007-12-14 19:00:00
42600,Cary,,SPHERE,NC,2007-12-14 19:15:00
42601,Mayslanding,,SPHERE,NJ,2007-12-14 19:20:00
42602,Santa Barbara,GREEN,SPHERE,CA,2007-12-14 19:30:00
42603,Clifton Forge,,CHEVRON,VA,2007-12-14 20:30:00
42604,Breinigsville,,FIREBALL,PA,2007-12-14 22:34:00
42605,Braintree,RED YELLOW,DISK,VT,2007-12-14 23:00:00
42606,Littleton,,,NH,2007-12-14 23:00:00
42607,Manhattan Beach,,FIREBALL,CA,2007-12-14 23:00:00
42608,Halifax,,OVAL,PA,2007-12-15 03:04:00
42609,Loves Park,BLUE,,IL,2007-12-15 04:30:00
42610,Wilkes-Barre,,LIGHT,PA,2007-12-15 05:00:00
42611,Lakeland,GREEN,,FL,2007-12-15 11:00:00
42612,Lakewood Ranch,ORANGE,LIGHT,FL,2007-12-15 16:00:00
42613,El Cerrito,,DISK,CA,2007-12-15 18:15:00
42614,Durango,,LIGHT,CO,2007-12-15 18:20:00
42615,Newark,,CIRCLE,DE,2007-12-15 18:25:00
42616,Lake Wales,,SPHERE,FL,2007-12-15 19:05:00
42617,Hummelstown,,CIRCLE,PA,2007-12-15 20:00:00
42618,San Lucas,,SPHERE,CA,2007-12-15 20:00:00
42619,Boulder,ORANGE,CIRCLE,CO,2007-12-15 21:00:00
42620,Boulder,ORANGE,LIGHT,CO,2007-12-15 21:15:00
42621,Havana,,TRIANGLE,FL,2007-12-15 21:30:00
42622,Independence,RED,LIGHT,KY,2007-12-15 21:30:00
42623,Los Angeles,,CYLINDER,CA,2007-12-15 22:07:00
42624,Duncan,,RECTANGLE,OK,2007-12-16 00:30:00
42625,Tampa,,DISK,FL,2007-12-16 18:30:00
42626,Carrollton,,LIGHT,KY,2007-12-16 18:35:00
42627,Charlottesville,,LIGHT,VA,2007-12-16 20:30:00
42628,Corpus Christi,ORANGE,SPHERE,TX,2007-12-17 05:00:00
42629,Lehigh Acres,,OTHER,FL,2007-12-18 00:30:00
42630,Randolph,,FORMATION,NE,2007-12-18 19:20:00
42631,El Paso,,FIREBALL,TX,2007-12-19 17:00:00
42632,Sterling Heights,,FLASH,MI,2007-12-19 20:00:00
42633,Mission Viejo,,DISK,CA,2007-12-19 20:10:00
42634,Irvine,BLUE,CIRCLE,CA,2007-12-19 20:30:00
42635,Fresno,,DISK,CA,2007-12-20 06:52:00
42636,Rigby,,FIREBALL,ID,2007-12-20 08:30:00
42637,Miami,,DIAMOND,OK,2007-12-20 17:00:00
42638,St. Petersburg,,TRIANGLE,FL,2007-12-20 18:15:00
42639,Gilbert,BLUE,,AZ,2007-12-20 18:29:00
42640,Frankfort,,OVAL,IL,2007-12-20 18:30:00
42641,Portland,,LIGHT,TX,2007-12-20 18:50:00
42642,Phoenix,BLUE,,AZ,2007-12-20 19:29:00
42643,St. Louis,,TRIANGLE,MO,2007-12-20 22:06:00
42644,St. Louis,,TRIANGLE,MO,2007-12-20 22:06:00
42645,Bear,,TRIANGLE,DE,2007-12-21 06:30:00
42646,West Palm Beach,,,FL,2007-12-21 17:20:00
42647,Houston,GREEN,FLASH,TX,2007-12-21 18:04:00
42648,Honolulu,,,HI,2007-12-21 19:14:00
42649,El Centro,,,CA,2007-12-21 21:30:00
42650,Flushing,RED,TRIANGLE,NY,2007-12-21 22:00:00
42651,Tucson,,CIRCLE,AZ,2007-12-22 01:30:00
42652,Dingmans Ferry,,LIGHT,PA,2007-12-22 05:00:00
42653,El Reno,,VARIOUS,OK,2007-12-22 05:00:00
42654,San Diego,,LIGHT,CA,2007-12-22 18:00:00
42655,San Diego,,LIGHT,CA,2007-12-22 18:05:00
42656,Warrendale,,SPHERE,PA,2007-12-22 18:15:00
42657,Mount Pleasant,,TRIANGLE,PA,2007-12-22 19:20:00
42658,San Diego,RED ORANGE,LIGHT,CA,2007-12-22 20:00:00
42659,Peoria,,,AZ,2007-12-22 21:30:00
42660,Harrisonburg,,OTHER,VA,2007-12-23 02:00:00
42661,Blairs,,CIRCLE,VA,2007-12-23 05:00:00
42662,Los Angeles,GREEN,CIRCLE,CA,2007-12-23 05:00:00
42663,Las Vegas,,CIRCLE,NV,2007-12-23 09:00:00
42664,San Marino,,DIAMOND,CA,2007-12-23 12:30:00
42665,Chicago,,DISK,IL,2007-12-23 13:30:00
42666,Los Angeles,,CIRCLE,CA,2007-12-23 16:00:00
42667,Lake Providence,,,LA,2007-12-23 18:00:00
42668,Los Alamos,,,CA,2007-12-23 18:00:00
42669,Salem,,SPHERE,VA,2007-12-23 18:30:00
42670,Bowie,BLUE,DISK,MD,2007-12-23 18:45:00
42671,Bowie,,LIGHT,MD,2007-12-23 18:45:00
42672,Lesslie,BLUE,DISK,SC,2007-12-23 20:00:00
42673,Chester,,CONE,VA,2007-12-23 20:45:00
42674,San Martin,RED,,CA,2007-12-23 21:00:00
42675,Tustin,,DISK,CA,2007-12-23 21:30:00
42676,Bountiful,,FORMATION,UT,2007-12-23 23:00:00
42677,Pataskala,,TRIANGLE,OH,2007-12-23 23:00:00
42678,Missouri,,CIRCLE,MO,2007-12-24 00:00:00
42679,Phila.,RED,DISK,PA,2007-12-24 00:00:00
42680,Brownsville,,LIGHT,TX,2007-12-24 00:15:00
42681,Van Nuys,,FORMATION,CA,2007-12-24 01:47:00
42682,Alta Loma,,CIRCLE,CA,2007-12-24 01:49:00
42683,New York City,,,NY,2007-12-24 02:00:00
42684,East Moline,,TRIANGLE,IL,2007-12-24 03:15:00
42685,Moneta,ORANGE,,VA,2007-12-24 12:01:00
42686,Windermere,,VARIOUS,FL,2007-12-24 18:00:00
42687,Lakewood,,LIGHT,CO,2007-12-24 18:50:00
42688,Longmont,,,CO,2007-12-24 20:15:00
42689,Memphis,ORANGE,,TN,2007-12-24 20:30:00
42690,Mendham,,TRIANGLE,NJ,2007-12-25 00:00:00
42691,Pensacola,RED,LIGHT,FL,2007-12-25 19:00:00
42692,Cut Off,,CIRCLE,LA,2007-12-25 20:00:00
42693,Chicago,,TRIANGLE,IL,2007-12-25 22:50:00
42694,Burbank,,,CA,2007-12-25 23:15:00
42695,Grants Pass,,LIGHT,OR,2007-12-26 06:30:00
42696,Klickitat Yakima County Line,,FLASH,WA,2007-12-26 18:30:00
42697,Mountains,,FLASH,WA,2007-12-26 18:30:00
42698,Clovis,,OTHER,CA,2007-12-26 19:30:00
42699,Irvine,ORANGE BLUE,OTHER,CA,2007-12-26 20:45:00
42700,Moneta,,OTHER,VA,2007-12-26 22:15:00
42701,Braintree,,,VT,2007-12-27 04:25:00
42702,Garland,,DISK,TX,2007-12-27 07:30:00
42703,Phoenix,,RECTANGLE,AZ,2007-12-27 17:00:00
42704,VA,,CIRCLE,SC,2007-12-27 20:00:00
42705,Vernon,,LIGHT,AZ,2007-12-28 00:00:00
42706,Satellite Beach,,SPHERE,FL,2007-12-28 04:00:00
42707,Nacogdoches,,,TX,2007-12-28 08:05:00
42708,Bay City,,TRIANGLE,TX,2007-12-28 19:00:00
42709,Hacienda Heights,,FORMATION,CA,2007-12-28 20:00:00
42710,Westwood,RED BLUE,DIAMOND,CA,2007-12-28 20:30:00
42711,Omaha,,CIRCLE,NE,2007-12-28 23:19:00
42712,Vista,,LIGHT,CA,2007-12-29 07:00:00
42713,North Kansas City,,TRIANGLE,MO,2007-12-29 15:00:00
42714,Plano,,SPHERE,TX,2007-12-29 18:00:00
42715,Carlsbad,,TRIANGLE,CA,2007-12-29 19:00:00
42716,Ashland,,OVAL,MO,2007-12-29 19:18:00
42717,Silverdale,,TRIANGLE,WA,2007-12-29 21:00:00
42718,Phoenix,,LIGHT,AZ,2007-12-29 22:00:00
42719,Altoona,,,IA,2007-12-29 22:15:00
42720,Palm Desert,RED,OTHER,CA,2007-12-30 00:00:00
42721,Braintree,,CIRCLE,VT,2007-12-30 01:00:00
42722,Perth Amboy,,,NJ,2007-12-30 01:00:00
42723,Spokane,,LIGHT,WA,2007-12-30 06:35:00
42724,Santa Rosa,,OTHER,CA,2007-12-30 20:15:00
42725,Vista,,OTHER,CA,2007-12-30 20:30:00
42726,Englewood,,CIRCLE,FL,2007-12-30 21:00:00
42727,Salina,,DISK,KS,2007-12-30 21:05:00
42728,Brooksville,,DISK,FL,2007-12-30 23:00:00
42729,Freehold Township,,DIAMOND,NJ,2007-12-31 00:00:00
42730,Antioch,RED,CIRCLE,CA,2007-12-31 00:05:00
42731,Green Valley,,OTHER,AZ,2007-12-31 00:40:00
42732,Cairo,,CIRCLE,GA,2007-12-31 09:30:00
42733,San Diego,,SPHERE,CA,2007-12-31 15:00:00
42734,Los Angeles,,RECTANGLE,CA,2007-12-31 16:00:00
42735,McKinney,,LIGHT,TX,2007-12-31 18:00:00
42736,Daniels,,LIGHT,WV,2007-12-31 18:20:00
42737,Lake Toxaway,,OVAL,NC,2007-12-31 19:30:00
42738,Pilot Knob,,LIGHT,MO,2007-12-31 20:00:00
42739,San Diego,YELLOW,LIGHT,CA,2007-12-31 20:45:00
42740,Groves,ORANGE,OTHER,TX,2007-12-31 21:00:00
42741,Carrollton,ORANGE,SPHERE,TX,2007-12-31 21:38:00
42742,San Carlos,RED,LIGHT,CA,2007-12-31 22:15:00
42743,Palm Coast,,OTHER,FL,2007-12-31 22:55:00
42744,Santa Monica,,OTHER,CA,2007-12-31 23:15:00
42745,Myrtle Beach,,EGG,SC,2007-12-31 23:53:00
42746,Burbank,ORANGE,CIRCLE,CA,2008-01-01 00:00:00
42747,Burbank,,LIGHT,CA,2008-01-01 00:00:00
42748,El Cajon,,TRIANGLE,CA,2008-01-01 00:01:00
42749,Las Vegas,,DISK,NV,2008-01-01 00:02:00
42750,Fremont,,FORMATION,CA,2008-01-01 00:03:00
42751,Antioch,,LIGHT,CA,2008-01-01 00:05:00
42752,Nunapitchuk,,FIREBALL,AK,2008-01-01 00:08:00
42753,Burbank,RED,LIGHT,CA,2008-01-01 00:15:00
42754,Massillon,ORANGE,LIGHT,OH,2008-01-01 00:15:00
42755,San Diego,,LIGHT,CA,2008-01-01 00:20:00
42756,Bartlett,,OVAL,TN,2008-01-01 00:30:00
42757,San Diego,,LIGHT,CA,2008-01-01 00:30:00
42758,San Diego,ORANGE YELLOW,LIGHT,CA,2008-01-01 00:30:00
42759,La Jolla,,LIGHT,CA,2008-01-01 00:40:00
42760,Citrus Heights,,FORMATION,CA,2008-01-01 01:00:00
42761,Waycross,,DISK,GA,2008-01-01 01:45:00
42762,Clayton,,,GA,2008-01-01 03:00:00
42763,Gainesville,,VARIOUS,FL,2008-01-01 03:00:00
42764,Easley,,LIGHT,SC,2008-01-01 06:10:00
42765,Jacksonville,,FIREBALL,FL,2008-01-01 08:30:00
42766,Santa Barbara,,OTHER,CA,2008-01-01 11:00:00
42767,San Diego,,LIGHT,CA,2008-01-01 12:30:00
42768,Gainesville,,,FL,2008-01-01 17:00:00
42769,Seattle,,VARIOUS,WA,2008-01-01 17:15:00
42770,Port Richey,,CIGAR,FL,2008-01-01 18:00:00
42771,Gainesville,,VARIOUS,FL,2008-01-01 18:30:00
42772,Grafton,,CIRCLE,MA,2008-01-01 18:30:00
42773,Catawba,RED,LIGHT,SC,2008-01-01 19:00:00
42774,Waco,,FIREBALL,TX,2008-01-01 20:00:00
42775,Pottsboro,,LIGHT,TX,2008-01-01 20:30:00
42776,Prairieville,,VARIOUS,LA,2008-01-01 21:00:00
42777,Yreka,,CYLINDER,CA,2008-01-01 21:20:00
42778,Bloomington,,,IL,2008-01-01 23:00:00
42779,Cameron,,LIGHT,MO,2008-01-02 02:30:00
42780,Byron,,LIGHT,GA,2008-01-02 06:50:00
42781,Downey,,FORMATION,CA,2008-01-02 08:28:00
42782,Westwood,,DIAMOND,CA,2008-01-02 20:30:00
42783,Newalla,,FIREBALL,OK,2008-01-02 20:45:00
42784,Craig,,LIGHT,CO,2008-01-02 21:00:00
42785,Hattiesburg,,OTHER,MS,2008-01-02 21:00:00
42786,Waldorf,,CIRCLE,MD,2008-01-02 22:35:00
42787,Elmhurst,YELLOW BLUE,OTHER,IL,2008-01-02 23:00:00
42788,Shippensburg,RED,TRIANGLE,PA,2008-01-02 23:00:00
42789,Bozeman,,OVAL,MT,2008-01-03 00:00:00
42790,Temecula,,CIRCLE,CA,2008-01-03 00:15:00
42791,Clover,,,SC,2008-01-03 00:20:00
42792,Brewster,,OTHER,OH,2008-01-03 01:00:00
42793,Bloomsburg,,,PA,2008-01-03 02:08:00
42794,Hope,ORANGE GREEN,,ND,2008-01-03 02:30:00
42795,West Warwick,,,RI,2008-01-03 02:40:00
42796,Medford,,,OR,2008-01-03 04:00:00
42797,Seattle,,,WA,2008-01-03 15:00:00
42798,Anaheim,,CIRCLE,CA,2008-01-03 15:28:00
42799,Tunkhannock,,LIGHT,PA,2008-01-03 20:00:00
42800,Flat Rock,,DIAMOND,AL,2008-01-03 20:30:00
42801,Harrisburg,,OVAL,PA,2008-01-03 22:45:00
42802,Columbia,,TRIANGLE,MO,2008-01-03 23:00:00
42803,Indianapolis,,TRIANGLE,IN,2008-01-04 00:00:00
42804,Hemphill,,RECTANGLE,TX,2008-01-04 10:00:00
42805,Lincolnshire,,DISK,IL,2008-01-04 15:00:00
42806,Houston,,TRIANGLE,TX,2008-01-04 19:00:00
42807,Leeds,RED GREEN BLUE,TRIANGLE,ME,2008-01-04 20:00:00
42808,Indian Trail,,DISK,NC,2008-01-04 20:37:00
42809,New Britain,ORANGE,DIAMOND,CT,2008-01-04 20:44:00
42810,Morehead,,LIGHT,KY,2008-01-04 20:45:00
42811,Calvert,,FIREBALL,TX,2008-01-04 23:00:00
42812,New Holland,,LIGHT,PA,2008-01-05 05:45:00
42813,Virginia Beach,BLUE,FORMATION,VA,2008-01-05 12:00:00
42814,Platteville,,CHEVRON,CO,2008-01-05 19:00:00
42815,Topeka,,TRIANGLE,KS,2008-01-05 20:00:00
42816,Yardville,,CIRCLE,NJ,2008-01-05 20:00:00
42817,Kingfisher,,,OK,2008-01-05 21:00:00
42818,Houston,,LIGHT,TX,2008-01-05 23:10:00
42819,New Caney,,CIRCLE,TX,2008-01-05 23:30:00
42820,Germania,,TRIANGLE,PA,2008-01-06 03:00:00
42821,Abilene,,LIGHT,TX,2008-01-06 22:00:00
42822,Stephenville,,DISK,TX,2008-01-07 00:00:00
42823,Homestead,,OVAL,FL,2008-01-07 03:00:00
42824,Safford,,CROSS,AZ,2008-01-07 06:00:00
42825,Cranston,,CIRCLE,RI,2008-01-07 06:30:00
42826,Bellingham,,LIGHT,WA,2008-01-07 07:00:00
42827,Sebring,,CIRCLE,FL,2008-01-07 19:00:00
42828,Philadelphia,,TRIANGLE,PA,2008-01-07 19:35:00
42829,Dale City,BLUE,FLASH,VA,2008-01-07 20:52:00
42830,Parkers Cross Roads,,OTHER,TN,2008-01-07 22:03:00
42831,Wichita,,OTHER,KS,2008-01-08 00:00:00
42832,Ypslianti,,VARIOUS,MI,2008-01-08 00:00:00
42833,Stephenville,,OVAL,TX,2008-01-08 01:00:00
42834,New orleans,,CIRCLE,LA,2008-01-08 01:30:00
42835,Hagerstown,BLUE,,MD,2008-01-08 02:23:00
42836,Dalton,,,GA,2008-01-08 04:00:00
42837,Springfield,,FORMATION,MA,2008-01-08 05:00:00
42838,Miami,,FLASH,FL,2008-01-08 07:30:00
42839,York,RED,TEARDROP,PA,2008-01-08 07:38:00
42840,Los Angeles,,VARIOUS,CA,2008-01-08 08:30:00
42841,San Antonio,,FIREBALL,TX,2008-01-08 14:45:00
42842,Ringgold,,FORMATION,GA,2008-01-08 15:00:00
42843,Stephenville,,RECTANGLE,TX,2008-01-08 17:14:00
42844,Stephenville,,OVAL,TX,2008-01-08 18:00:00
42845,Palm Desert,,TRIANGLE,CA,2008-01-08 18:45:00
42846,Salado,,FORMATION,TX,2008-01-08 19:00:00
42847,Stephenville,,OVAL,TX,2008-01-08 19:00:00
42848,Liberty Hill,,OTHER,TX,2008-01-08 19:20:00
42849,Orlando,,LIGHT,FL,2008-01-08 19:36:00
42850,Baird,,LIGHT,TX,2008-01-08 20:00:00
42851,Waconia,,TRIANGLE,MN,2008-01-08 20:45:00
42852,Liberty Hill,ORANGE,,TX,2008-01-08 22:00:00
42853,San Jose,,TRIANGLE,CA,2008-01-08 22:00:00
42854,Azle,,CIRCLE,TX,2008-01-08 23:30:00
42855,Tulsa,RED,,OK,2008-01-09 02:00:00
42856,Sargent,,CIRCLE,TX,2008-01-09 06:15:00
42857,Tualatin,,LIGHT,OR,2008-01-09 07:03:00
42858,Valdosta,,DIAMOND,GA,2008-01-09 09:00:00
42859,Florissant,,OTHER,CO,2008-01-09 12:00:00
42860,Livermore,,CYLINDER,CA,2008-01-09 15:50:00
42861,Clark,,OVAL,NJ,2008-01-09 17:00:00
42862,Memphis,,CIRCLE,TN,2008-01-09 17:00:00
42863,Okmulgee,,CIGAR,OK,2008-01-09 18:30:00
42864,San Antonio,,DISK,TX,2008-01-09 19:00:00
42865,Lancaster,,LIGHT,CA,2008-01-09 19:10:00
42866,Lebanon,,OTHER,IN,2008-01-09 20:13:00
42867,Byron,,,NY,2008-01-09 21:58:00
42868,Bloomington,,TRIANGLE,IL,2008-01-09 22:00:00
42869,Clearwater Beach,,OTHER,FL,2008-01-10 00:00:00
42870,Quatzsite,,,AZ,2008-01-10 00:00:00
42871,Satellite Beach,,DIAMOND,FL,2008-01-10 02:00:00
42872,Seminole,,CIRCLE,OK,2008-01-10 02:00:00
42873,Louisville,,LIGHT,KY,2008-01-10 03:56:00
42874,Lindenhurst,,CIRCLE,NY,2008-01-10 06:00:00
42875,Davie,GREEN,TEARDROP,FL,2008-01-10 19:00:00
42876,Sarasota,,FIREBALL,FL,2008-01-10 19:00:00
42877,Las Vegas,,,NV,2008-01-10 19:30:00
42878,Poughkeepsie,,OTHER,NY,2008-01-10 20:05:00
42879,Laguna Niguel,GREEN,LIGHT,CA,2008-01-10 22:00:00
42880,Laurel,,LIGHT,MD,2008-01-10 23:00:00
42881,Gig Harbor,,LIGHT,WA,2008-01-11 01:00:00
42882,Bergen,,FORMATION,NY,2008-01-11 06:00:00
42883,Phoenix,RED GREEN BLUE,OVAL,AZ,2008-01-11 08:30:00
42884,Carmel,RED,OTHER,NY,2008-01-11 11:00:00
42885,Houston,,TRIANGLE,TX,2008-01-11 21:00:00
42886,Naples,,TRIANGLE,FL,2008-01-11 23:35:00
42887,Russellton,RED,TRIANGLE,PA,2008-01-12 00:00:00
42888,Riverside,,FIREBALL,CA,2008-01-12 01:30:00
42889,Wapakoneta,,TRIANGLE,OH,2008-01-12 02:00:00
42890,Bloomfield Hills,,,MI,2008-01-12 06:55:00
42891,Santa Monica,,VARIOUS,CA,2008-01-12 10:38:00
42892,St. Petersburg,,VARIOUS,FL,2008-01-12 11:00:00
42893,Marlton,,EGG,NJ,2008-01-12 15:30:00
42894,Limon,,,CO,2008-01-12 16:00:00
42895,Canonsburg,,TRIANGLE,PA,2008-01-12 18:00:00
42896,Roslindale,,OVAL,MA,2008-01-12 19:00:00
42897,Norwalk,,TRIANGLE,CA,2008-01-12 19:20:00
42898,Sevierville,,OTHER,TN,2008-01-12 19:45:00
42899,Lady Lake,,,FL,2008-01-12 20:00:00
42900,Hampton,,EGG,TN,2008-01-12 20:45:00
42901,Bath,,,PA,2008-01-12 23:00:00
42902,Redondo Beach,,FLASH,CA,2008-01-12 23:00:00
42903,Long Beach,,OTHER,CA,2008-01-13 00:00:00
42904,Las Vegas,,CIRCLE,NV,2008-01-13 01:00:00
42905,San Francisco,,LIGHT,CA,2008-01-13 03:00:00
42906,Stanhope,,LIGHT,NJ,2008-01-13 04:30:00
42907,Hampstead,,LIGHT,NH,2008-01-13 05:20:00
42908,Grand prairie,,RECTANGLE,TX,2008-01-13 11:50:00
42909,Gulf of Mexico,,DISK,TX,2008-01-13 13:30:00
42910,Dunstable,,LIGHT,MA,2008-01-13 17:11:00
42911,Conway,,,AR,2008-01-13 21:00:00
42912,Stephenville,,DISK,TX,2008-01-14 00:00:00
42913,Allentown,,SPHERE,PA,2008-01-14 01:34:00
42914,Ukiah,,OTHER,CA,2008-01-14 06:40:00
42915,Goleta,,TRIANGLE,CA,2008-01-14 12:25:00
42916,Pomona,,CIRCLE,CA,2008-01-14 14:15:00
42917,Lakeway,,DISK,TX,2008-01-14 17:00:00
42918,Longwood,,OTHER,FL,2008-01-14 17:45:00
42919,Racine,,LIGHT,WI,2008-01-14 18:20:00
42920,Yuma,,FIREBALL,AZ,2008-01-14 19:00:00
42921,Swanburg,,FIREBALL,MN,2008-01-14 20:10:00
42922,Alvin,,CIGAR,TX,2008-01-14 20:30:00
42923,Altamonte Springs,GREEN,DISK,FL,2008-01-14 21:00:00
42924,Canon,RED GREEN,CIRCLE,GA,2008-01-14 21:00:00
42925,Sheffield Lake,,OVAL,OH,2008-01-15 00:00:00
42926,Sugarcreek,,TRIANGLE,OH,2008-01-15 01:00:00
42927,Rockville,RED,TRIANGLE,MD,2008-01-15 01:50:00
42928,Quad  cities,,,IL,2008-01-15 03:30:00
42929,Shepherd,,TRIANGLE,TX,2008-01-15 05:29:00
42930,Hamilton,,LIGHT,TX,2008-01-15 06:20:00
42931,Atchafalaya,,LIGHT,LA,2008-01-15 06:48:00
42932,Springhill,,FIREBALL,LA,2008-01-15 07:47:00
42933,Roan Mountain,,CROSS,TN,2008-01-15 08:56:00
42934,Highland,,SPHERE,CA,2008-01-15 09:10:00
42935,Dixon,,,IL,2008-01-15 11:58:00
42936,San Bernardino,,CIRCLE,CA,2008-01-15 12:00:00
42937,Carriere,,OTHER,MS,2008-01-15 18:00:00
42938,Chapel Hill,,TRIANGLE,NC,2008-01-15 19:00:00
42939,Carmel,RED,CIRCLE,IN,2008-01-15 20:30:00
42940,Colfax,,DISK,ND,2008-01-15 21:00:00
42941,Warrenton,,CIRCLE,NC,2008-01-15 21:00:00
42942,Spring Creek,,FORMATION,NV,2008-01-15 22:00:00
42943,Canon City,ORANGE,DISK,CO,2008-01-15 22:10:00
42944,Lakewood,BLUE,LIGHT,CA,2008-01-15 23:00:00
42945,St. Louis,,CIRCLE,MO,2008-01-15 23:00:00
42946,Compton,GREEN,FIREBALL,CA,2008-01-15 23:20:00
42947,Long Beach,,LIGHT,CA,2008-01-15 23:45:00
42948,Fall River,,FLASH,MA,2008-01-16 00:00:00
42949,Pomfret,,TRIANGLE,CT,2008-01-16 05:00:00
42950,Owasso,RED,TRIANGLE,OK,2008-01-16 05:07:00
42951,Wareham,,,MA,2008-01-16 05:25:00
42952,North Falmouth,,,MA,2008-01-16 05:30:00
42953,Quartzsite,YELLOW,FLASH,AZ,2008-01-16 05:58:00
42954,Chicago,,CIRCLE,IL,2008-01-16 06:00:00
42955,Phoenix,,CIRCLE,AZ,2008-01-16 09:00:00
42956,Riverhead,,,NY,2008-01-16 11:30:00
42957,Fair Oaks,,,IL,2008-01-16 20:00:00
42958,Gary,,TRIANGLE,IN,2008-01-16 20:00:00
42959,Denver,,TRIANGLE,IN,2008-01-16 21:00:00
42960,Old Bridge,,TRIANGLE,NJ,2008-01-16 23:00:00
42961,Altoona,,OVAL,IA,2008-01-17 00:00:00
42962,Oklahoma City,ORANGE,FORMATION,OK,2008-01-17 00:00:00
42963,Hagerstown,,TRIANGLE,MD,2008-01-17 02:04:00
42964,Livingston,,,NJ,2008-01-17 04:30:00
42965,New Providence,RED,,NJ,2008-01-17 05:00:00
42966,Newburgh,,TRIANGLE,NY,2008-01-17 06:04:00
42967,Kerens,,FORMATION,TX,2008-01-17 07:55:00
42968,Half Moon Bay,,VARIOUS,CA,2008-01-17 08:00:00
42969,Azusa,,DISK,CA,2008-01-17 14:35:00
42970,Baltimore,,TRIANGLE,MD,2008-01-17 18:15:00
42971,Adelanto,,TRIANGLE,CA,2008-01-17 18:30:00
42972,Effingham,,OVAL,NH,2008-01-17 18:40:00
42973,Callahan,,CIGAR,FL,2008-01-17 20:00:00
42974,Fulshear,,OTHER,TX,2008-01-17 21:15:00
42975,Enigma,ORANGE,TRIANGLE,GA,2008-01-18 00:00:00
42976,New Hampton,RED YELLOW,CIRCLE,NY,2008-01-18 18:00:00
42977,Issaquah,,LIGHT,WA,2008-01-18 18:50:00
42978,East Pennsboro,,LIGHT,PA,2008-01-18 19:00:00
42979,Freeport,RED,CIRCLE,ME,2008-01-18 19:05:00
42980,Brunswick,,,NY,2008-01-18 19:30:00
42981,Madison,GREEN,,CT,2008-01-18 19:40:00
42982,Red Lion,,CIRCLE,PA,2008-01-18 19:45:00
42983,Brownstown,,OVAL,MI,2008-01-18 20:00:00
42984,Riverhead,,CIRCLE,NY,2008-01-18 20:00:00
42985,Cherryville,,TRIANGLE,NC,2008-01-18 21:00:00
